,Estimate your total available addressable market size: [log10.1],How much revenue does your startup currently make per month? [log10.1],No of Users [log10.1],No of Payers [log10.1],Payers / Users,user growth / month [log10.1],Payer growth / month [log10.1],User growth / 6 months [log10.1],Payer growth / 6 months [log10.1],Churn rate - User,Churn rate - Payer,Activation,Retention,Total activation [log10.1],Product Development [Team Focus],50/50 [Team Focus],Customer Development & Acquisition [Team Focus],Other [Team Focus],Subscription [Primary revenue stream],Transaction Fee [Primary revenue stream],Advertising [Primary revenue stream],License Fee [Primary revenue stream],Virtual Goods [Primary revenue stream],Lead Generation [Primary revenue stream],Ownership [Primary revenue stream],Other [Primary revenue stream],Consulting [Primary revenue stream],Data [Primary revenue stream],Listing Fee [Primary revenue stream],Hardware [Primary revenue stream],Sponsorship [Primary revenue stream],Rental [Primary revenue stream],Building Product [Biggest Challenge],Customer Acquisition [Biggest Challenge],Funding [Biggest Challenge],Building The Team [Biggest Challenge],Business Model [Biggest Challenge],Over Capacity / Too Much To Do [Biggest Challenge],Minimum Viable Product [Biggest Challenge],Product Market Fit [Biggest Challenge],Critical Mass [Biggest Challenge],N/A [Biggest Challenge],Staying Focused & Disciplined [Biggest Challenge],Revenue [Biggest Challenge],Problem Solution Fit [Biggest Challenge],Scaling [Biggest Challenge],Leadership & Team Alignment [Biggest Challenge],Partnership [Biggest Challenge],Legal [Biggest Challenge],Regulations [Biggest Challenge]
Churn rate - Payer,-0.009070778055355937,-0.023635500201105594,0.04376413970622123,0.08760468204640494,-0.0004861285532098345,0.018360658279765053,0.013690423072203835,0.028917543150093258,0.04389946773458947,0.36482575458266386,1.0,-0.024036929810592283,-0.03010845030309971,0.06616177327692059,-0.0017133224067788677,0.005364249053445009,-0.0030983337434031155,-0.007000273542319389,-0.034621425711443915,0.03480270585814265,0.0052597737078392,-0.009008933634603077,0.01287733767730827,0.02898122612234516,0.011693825420471215,0.001796081751875954,-0.011783170209448263,-0.002635179713288925,-0.015140316951310415,0.010508319934303241,0.006833755500776445,-0.005919599629662458,-0.01673091856745068,0.026743352546282392,-0.018227933492529883,-0.019241166033299728,0.016413433778814226,-0.006862874111635843,0.004072113775789554,0.019911563725537342,-0.0003523873972214721,0.018891041480569224,-0.006024170720363193,0.008189988195505675,-0.014963274787669184,-0.007611029489433454,-0.010045684262376302,0.004570484896214937,0.009215207826488936,0.00034217485743854296
Activation,0.05259660215727282,0.012814909528947543,0.11424478369661022,0.024313270388741016,0.08000098411763426,0.08474183641697962,0.05718966015454827,0.07170768073762511,0.029722903933885814,0.002814130214523774,-0.024036929810592283,1.0,0.6954422420529273,0.3852657426362295,0.05009777298978026,-0.008576386388157473,-0.016110113811325457,0.010369411907085225,-0.029381193721211302,-0.0077804189626055524,0.09079463299836771,-0.0019644681183040354,0.013967635230914363,-0.00984668468359304,-0.000518886065698244,0.0029520959827189597,-0.008591168096101552,0.031023778016595366,0.011957584848092761,-0.003143060298004474,0.03665689289469727,-0.017785054511750425,0.0038116277260128056,-0.03416526268711951,0.07087323724797014,-0.010564023835227981,-0.002155732982172981,0.03728166220082393,-0.003953512663077248,-0.016004296947893046,0.02637559595903228,-0.07032493379404646,0.01925037155380235,0.006988136532649703,-0.0048857667258470966,0.029946265490571698,0.014180959743757911,-0.008824587144932233,0.022801258720816165,0.000320724379678508
Retention,0.044278584491206474,0.05162826133819166,0.084772101515145,0.04896245674582634,0.11682472222080524,0.06575484591310583,0.05632612639217932,0.05647944597926749,0.02826736721006118,-0.03960548638352409,-0.03010845030309971,0.6954422420529273,1.0,0.35392291334391407,0.026432055342488575,0.0074617828460807265,-0.015765592830055093,0.022009397846904623,0.0010180993969368048,0.006162245182243143,0.06618700495100988,-0.015091434344161355,-0.0012442472672104705,-0.018380067815706023,-0.019336608054217608,0.001462445997571651,-0.010500381646344144,0.03081024897338723,-0.007313586313745525,-0.008157409631867306,0.02515040097375431,-0.0101630618313408,-0.001849453545241311,-0.016817830202515007,0.061727229683573887,0.002855292838367423,0.0033843923919177144,0.025031468422107486,-0.009929763654164396,-0.018864179127557713,0.023381797509462034,-0.05254343180192709,0.00927328019983951,0.004761317178636408,-0.005515654322943669,0.03384322330668923,0.0004870565505817421,-0.0003634303603590475,-0.004522849659165999,-0.009428862962497958
Total activation [log10.1],0.07194391930933919,0.090347004468405,0.31734847619761886,0.24444640950332128,0.08854698427655262,0.0015645285682513907,-0.008006112216709193,0.08325917488368778,0.03230252857379093,0.14496059034219952,0.06616177327692059,0.3852657426362295,0.35392291334391407,1.0,0.024468838493666337,0.040875130569023095,-0.030157023006070705,0.027277485442470457,-0.00947628523941754,0.037391108575087165,0.04990731335244236,-0.02138870858150519,0.01921798425927475,0.029403803034191312,0.0037851573409435767,0.0224473851540598,-0.03398519724597297,0.011397868055741523,-0.0009530861506610829,-0.026419099302926387,0.0220817599458115,-0.0029585680412985856,-0.06297622784552076,0.05861161530157762,0.0351460532827699,-0.020391163565248453,-0.02362955909323272,0.047689965542077266,-0.03332471047802644,0.01256254608630413,0.0846703252731786,-0.1122952193652377,0.0249696498132061,0.08380309540262497,-0.02123509911874895,0.07005699112851449,0.03102375656759071,-0.01081056086773611,0.029619889697779456,-0.015398934349646532
Product Development [Team Focus],0.043701554782555434,-0.026593331646436427,-0.08598136487598916,-0.14504813464840605,-0.07004465790051508,0.023479180567824557,0.019921275298228028,0.03502708978083323,0.004513200033895546,0.035195668744258723,-0.0017133224067788677,0.05009777298978026,0.026432055342488575,0.024468838493666337,1.0,-0.5724780716211029,-0.3266941837359321,-0.12582548117123887,0.05538780945440926,0.01978613333983807,0.08225275646863123,0.04345152675897457,0.062489858822563145,-0.000432754449071621,0.02090393717155152,0.005636146312433248,-0.025218096707852695,0.025474519958810348,0.0202620504876054,0.017397643673141845,-0.0034353625495311983,-0.0058155736999303135,0.21433323154026895,-0.06000054322266638,0.036389757289593254,0.06120065033841805,0.003832631750188764,0.018776007130164796,0.06559487956649103,-0.0011051093490819911,-0.008910167961653255,-0.08622263673761955,0.03700182606812821,-0.014449058355444558,-0.007668473787558457,-0.025746833850402603,0.011771061914678839,-0.01570818191563764,0.011916751808929493,-0.013407755045270918
50/50 [Team Focus],0.020887438442627308,0.0038280564640048166,0.0656485729301246,0.07220355921167482,0.06640037315758604,-0.008965538214559995,-0.002129019210468767,0.016795404212576092,0.010865806254782581,-0.006402881974042087,0.005364249053445009,-0.008576386388157473,0.0074617828460807265,0.040875130569023095,-0.5724780716211029,1.0,-0.2640570299401312,-0.10170093164475402,0.05536634222298121,0.060779997702091096,-0.005622415600360771,0.032924967511852775,-0.009281029894607908,0.03327175915673536,0.009443998621163007,0.004404909195242133,0.014560457009130025,0.0025502034791319928,0.006231477272099756,0.011822029739448398,0.020832870804000193,0.012606022333694056,-0.04569248734821687,0.1106311203914584,0.05412985327719723,0.0047622268053820315,0.03798364967354144,0.049252178305616304,0.003171576571002138,0.03248833973346331,0.031473305354228556,-0.08669676701929628,0.006649180749370522,0.024128040105943122,0.02926095296920893,0.019570331753239755,0.015086555793222961,0.029484267612234532,0.01583759151079345,0.002039919597635226
Customer Development & Acquisition [Team Focus],-0.05052875838170079,0.011328100991583741,0.059822239140615775,0.09160986614926885,0.036852033088666615,-0.006256112184509708,-0.017854461163489245,-0.021227220634553064,-0.015604176950616482,-0.028449629620896043,-0.0030983337434031155,-0.016110113811325457,-0.015765592830055093,-0.030157023006070705,-0.3266941837359321,-0.2640570299401312,1.0,-0.058037337141632,0.07853223350817963,0.02113982203784697,-0.021250516490088068,-0.020112796204086496,-0.013807196708267425,-0.000531775561168749,-0.010995844694569748,0.012917749270929778,0.040892303827244486,-0.015104482481741977,-0.004955017740481949,-0.014187271796303287,0.005791478708709379,0.015853260176661995,-0.08374829287968488,0.06389482813734558,-0.026728202779109003,-0.01567259192625095,0.005890038310915132,-0.021471094745160905,-0.014967554330047423,0.014671696115380788,0.031129383242858227,0.3064490850149944,-0.017308220437060852,0.03817034339546708,0.015489257675671993,0.039976238468108355,-0.0027847372212676277,0.009434728410688752,-0.008588993451978012,0.008974401587354403
Other [Team Focus],-0.007849916374549732,0.030122202394947287,-0.02171910842442268,0.006419940501894549,0.03313350366684531,-0.005633033820032472,0.008052461847834244,-0.028211378334847513,-0.008878768325983246,-0.02001122091635989,-0.007000273542319389,0.010369411907085225,0.022009397846904623,0.027277485442470457,-0.12582548117123887,-0.10170093164475402,-0.058037337141632,1.0,0.0058251305878216034,-0.006769440196436082,0.010498659100436795,-0.011487098426293139,-0.02123455219129349,0.011428568955788351,0.008948757394095164,0.046649537437601765,0.03308506844073806,0.014643293579059765,0.008790017534806956,0.01681032455873646,-0.0035420547941397273,0.0045834250054565704,-0.025518439925329747,0.0019930269487653833,0.021271336595896088,0.010773993379219601,0.03134631143801891,0.010956345222683461,-0.023760457477191126,0.005590744570052194,-0.014920190208154825,-0.00837972220777119,0.02297228365425034,-0.0026070772930766786,0.008538750094972798,0.02966966694729115,0.0035095991344674658,0.016850156391524478,-0.0033244614640050942,0.048209136078049976
Subscription [Primary revenue stream],-0.029471404440012065,0.009629924460032366,0.005066400252484848,0.01956535951079042,0.03863398116891581,-0.006048265238638607,-0.004778297980808018,-0.0036662986318435993,-0.002833243537248308,-0.04321556435390819,-0.034621425711443915,-0.029381193721211302,0.0010180993969368048,-0.00947628523941754,0.05538780945440926,0.05536634222298121,0.07853223350817963,0.0058251305878216034,1.0,-0.3193990033121718,-0.2348300054240933,-0.20485253798478603,-0.1515106595262381,-0.13316496322901045,-0.11688100891378221,-0.11596715793444404,-0.11224405660183225,-0.10510584702967646,-0.105105847029672,-0.10101653670140176,-0.08887369905865902,-0.06815407813394635,0.02540476514126966,0.06507799040814635,0.0006453908792934514,0.013889134785949421,0.0010340920254972431,0.021903734459626522,0.03359198812872193,0.036943283015600396,-0.027638716071887517,0.13535116189890947,0.025368621990548155,-0.0052546606881395536,0.0363366817742436,0.015354714434934231,-0.03613141385490106,-0.006923437330554461,-0.008437874506335569,-0.017157369430232605
Transaction Fee [Primary revenue stream],0.11265665776290631,-0.014923736845592424,-0.032434860493054336,0.006061211771535312,-0.007099798517966943,0.004030516777131812,0.022856578310849727,0.027328287639124663,0.03577350286041898,0.017326014117423218,0.03480270585814265,-0.0077804189626055524,0.006162245182243143,0.037391108575087165,0.01978613333983807,0.060779997702091096,0.02113982203784697,-0.006769440196436082,-0.3193990033121718,1.0,-0.1273515817079052,-0.11109438371016833,-0.08216634029128542,-0.07221721374431114,-0.06338619858185439,-0.06289060447131298,-0.06087151477829455,-0.05700036433507772,-0.05700036433507719,-0.054782674404605616,-0.04819744447441774,-0.03696090554751787,0.024421455293614964,0.014664844938219516,0.053133968906160255,0.012985649714674386,0.016787500325988525,-0.006712703472276693,0.0385246909839971,0.0049663238886995635,-0.0007292497925192441,-0.0496628144749731,0.009349841606245286,-0.017941380756012648,0.001020658632893663,0.009096803300773816,0.026140212392574733,0.014100832964360882,0.010970058485674573,0.046709152381037136
Advertising [Primary revenue stream],-0.020565199270464997,-0.024418974042444017,0.03603889523229166,-0.08549551419246934,-0.11331322440518735,0.009683827975372107,-0.01994806695075648,0.022430196980835333,-0.0157707894690726,0.045191124747797504,0.0052597737078392,0.09079463299836771,0.06618700495100988,0.04990731335244236,0.08225275646863123,-0.005622415600360771,-0.021250516490088068,0.010498659100436795,-0.2348300054240933,-0.1273515817079052,1.0,-0.08167932416415234,-0.060410714924546194,-0.05309587230839615,-0.04660309269105247,-0.046238719707864015,-0.044754235289788835,-0.04190807024183268,-0.04190807024183382,-0.040277570043024714,-0.03543594698162122,-0.027174567109463303,0.06497051050070855,-0.029032655183957756,-0.0008598321553315803,0.02427815257685432,0.010289875906104442,0.013852504828705781,0.019376207793282793,-0.01829368508880901,0.05193211550521826,-0.02826388978436132,0.006382247189876192,0.01179581156938418,-0.01405159308017084,-0.020595207959909188,0.03339854395492248,0.010956671450109307,-0.01616575434943973,-0.017082833668824127
License Fee [Primary revenue stream],-0.015667372978130697,0.06714446034843348,-0.016469762250500466,-0.00778578698298085,0.11290963046042253,-0.016672008376059682,-0.01622349565248074,-0.03674780693055666,-0.036166205754740305,-0.03486656151021672,-0.009008933634603077,-0.0019644681183040354,-0.015091434344161355,-0.02138870858150519,0.04345152675897457,0.032924967511852775,-0.020112796204086496,-0.011487098426293139,-0.20485253798478603,-0.11109438371016833,-0.08167932416415234,1.0,-0.05269892257345963,-0.046317863763820834,-0.04065392664988077,-0.040336068077072684,-0.03904108705412142,-0.036558252151723314,-0.036558252151723286,-0.03513589514369784,-0.030912334486256916,-0.023705569613895368,-0.004741387204059043,0.044945186175629766,0.004968293425941515,-0.0005784848989639784,0.019393527039386467,0.0004171930133776925,-0.013198260056087489,-0.0008845881495422135,-0.011634827911334718,-0.018087870746037092,-0.0025320253670527842,0.05554795432338567,0.03602555248273019,-0.0023233792274354875,0.01792969013638858,0.010636555306628366,0.004807663572754944,-0.006604060681322551
Virtual Goods [Primary revenue stream],0.00938882954228077,-0.03334474268932745,0.025565396367517458,0.02896866424331121,-0.043308848628173566,0.03131155334898646,0.016097624456945982,0.031114305960421928,0.012400253486910732,0.04892900771023503,0.01287733767730827,0.013967635230914363,-0.0012442472672104705,0.01921798425927475,0.062489858822563145,-0.009281029894607908,-0.013807196708267425,-0.02123455219129349,-0.1515106595262381,-0.08216634029128542,-0.060410714924546194,-0.05269892257345963,1.0,-0.03425708148768232,-0.030067985974934226,-0.02983289510187489,-0.028875116248893832,-0.02703879067901316,-0.027038790679012954,-0.025986803476469932,-0.022863022501861292,-0.017532838606632784,0.03896247829838724,-0.01728518307669239,0.014924324223558058,0.015559391078721129,0.0006791660080108766,0.01179470851965757,-0.020733768916574243,-0.0048607546866956675,0.0300485731650834,-0.014094363600303078,0.01493803754950375,0.00904451722375611,-0.014146857959127141,0.002649556069752173,0.0038500268008283137,-0.013619963535566283,0.004850456814813041,-0.011021723527482033
Lead Generation [Primary revenue stream],0.05767096769996082,-0.027719419282116325,0.06432904425269492,0.008040145793619394,-0.054524247061810645,0.01703179881268626,0.010667712201218036,0.03728777933250363,0.027687163231229165,0.04180931600548754,0.02898122612234516,-0.00984668468359304,-0.018380067815706023,0.029403803034191312,-0.000432754449071621,0.03327175915673536,-0.000531775561168749,0.011428568955788351,-0.13316496322901045,-0.07221721374431114,-0.05309587230839615,-0.046317863763820834,-0.03425708148768232,1.0,-0.026427198318869492,-0.026220573467749437,-0.025378767444753557,-0.023764793696931408,-0.023764793696931106,-0.022840186559834125,-0.020094649183653605,-0.015409871593544443,0.005097658598728577,0.01204342110019337,0.014209182380229723,0.003196648861298055,-0.003937497406792658,-0.00416361838074802,-0.008913795533844436,0.03727094192440253,0.005315184168719162,-0.007141944734647276,-0.008294724899742988,-9.508209430662297e-05,-0.0038533047007736736,0.02006271676677497,0.004010028396943195,0.024060282475396714,-0.014709210033116414,0.014862679554955559
Ownership [Primary revenue stream],-0.036383962166380984,-0.008354799313660458,-0.007062145148399574,0.040204710907335066,0.03806301654740375,0.007525990525755698,0.0029227026271363148,-0.010394929906013133,-0.006342208152822962,0.008090457587468708,0.011693825420471215,-0.000518886065698244,-0.019336608054217608,0.0037851573409435767,0.02090393717155152,0.009443998621163007,-0.010995844694569748,0.008948757394095164,-0.11688100891378221,-0.06338619858185439,-0.04660309269105247,-0.04065392664988077,-0.030067985974934226,-0.026427198318869492,1.0,-0.023014214902295098,-0.022275348349926366,-0.020858737888501448,-0.02085873788850232,-0.020047195479654487,-0.01763739360116516,-0.013525489703983063,0.01850438555703977,-0.004692474873835423,0.02398518090155009,0.012250944898038192,0.0034874714301711767,0.012779170643665726,-0.003436896253593286,-0.003929896157599659,-0.002843177556411669,-0.009196398868743164,-0.006703471572956024,-0.003404666565323324,-0.0027528684754178742,-0.0017328734197008691,-0.003970399518963068,-0.015226552203894694,0.033017244521237055,-0.00850257117148711
